日期,時間,賽事編號,球隊,得分,總比分,讓分,讓分賠率,不讓分賠率,大小分,大小分賠率,單雙賠率
2022/4/21,AM 07:00,20220421-0,波士頓塞爾提克,114,107 : 114,-2.5,主1.8,1.6,224.5,小1.8,雙1.75
2022/4/21,AM 08:00,20220421-1,費城76人,104,104 : 101,-2.5,客1.7,1.6,217.5,大1.75,單1.75
2022/4/21,AM 08:00,20220421-1,多倫多暴龍,101,104 : 101,2.5,主1.8,1.9,217.5,小1.75,雙1.75
2022/4/21,AM 09:30,20220421-2,芝加哥公牛,114,114 : 110,10.5,客1.75,3.5,225.5,大1.75,單1.75
2022/4/21,AM 09:30,20220421-2,密爾瓦基公鹿,110,114 : 110,-10.5,主1.75,1.15,225.5,小1.75,雙1.75
2022/4/22,AM 07:30,20220422-0,曼斐斯灰熊,104,104 : 95,-3.5,客1.7,1.5,236.5,大1.8,單1.75
2022/4/22,AM 07:30,20220422-0,明尼蘇達灰狼,95,104 : 95,3.5,主1.8,2.05,236.5,小1.7,雙1.75
2022/4/22,AM 09:00,20220422-1,達拉斯獨行俠,126,126 : 118,8.5,客1.8,3.5,209.5,大1.75,單1.75
2022/4/22,AM 09:00,20220422-1,猶他爵士,118,126 : 118,-8.5,主1.7,1.15,209.5,小1.75,雙1.75
2022/4/22,AM 10:00,20220422-2,金州勇士,118,118 : 113,-3.5,客1.7,1.5,223.5,大1.8,單1.75
2022/4/22,AM 10:00,20220422-2,丹佛金塊,113,118 : 113,3.5,主1.8,2.05,223.5,小1.7,雙1.75
2022/4/23,AM 07:00,20220423-0,邁阿密熱火,110,110 : 111,-2.5,客1.7,1.55,223.5,大1.75,單1.75
2022/4/23,AM 07:00,20220423-0,亞特蘭大老鷹,111,110 : 111,2.5,主1.8,1.95,223.5,小1.75,雙1.75
2022/4/23,AM 08:30,20220423-1,密爾瓦基公鹿,111,111 : 81,-3.5,客1.7,1.5,223.5,大1.75,單1.75
2022/4/23,AM 08:30,20220423-1,芝加哥公牛,81,111 : 81,3.5,主1.8,2.05,223.5,小1.75,雙1.75
2022/4/23,AM 10:00,20220423-2,鳳凰城太陽,114,114 : 111,-3.5,客1.7,1.5,216.5,大1.7,單1.75
2022/4/23,AM 10:00,20220423-2,紐奧良鵜鶘,111,114 : 111,3.5,主1.8,2.05,216.5,小1.8,雙1.75
2022/4/24,AM 02:00,20220424-0,費城76人,102,102 : 110,-3.5,客1.75,1.45,213.5,大1.75,單1.75
2022/4/24,AM 02:00,20220424-0,多倫多暴龍,110,102 : 110,3.5,主1.75,2.15,213.5,小1.75,雙1.75
2022/4/24,AM 04:30,20220424-1,達拉斯獨行俠,99,99 : 100,5.5,客1.7,2.45,214.5,大1.75,單1.75
2022/4/24,AM 04:30,20220424-1,猶他爵士,100,99 : 100,-5.5,主1.8,1.35,214.5,小1.75,雙1.75
2022/4/24,AM 07:30,20220424-2,波士頓塞爾提克,109,109 : 103,4.5,客1.75,2.3,223.5,大1.75,單1.75
2022/4/24,AM 07:30,20220424-2,布魯克林籃網,103,109 : 103,-4.5,主1.75,1.4,223.5,小1.75,雙1.75
2022/4/24,AM 10:00,20220424-3,曼斐斯灰熊,118,118 : 119,-3.5,客1.7,1.5,230.5,大1.75,單1.75
2022/4/24,AM 10:00,20220424-3,明尼蘇達灰狼,119,118 : 119,3.5,主1.8,2.05,230.5,小1.75,雙1.75
2022/4/25,AM 01:00,20220425-0,密爾瓦基公鹿,119,119 : 95,-5.5,客1.75,1.35,218.5,大1.75,單1.75
2022/4/25,AM 01:00,20220425-0,芝加哥公牛,95,119 : 95,5.5,主1.75,2.45,218.5,小1.75,雙1.75
2022/4/25,AM 03:30,20220425-1,金州勇士,121,121 : 126,-5.5,客1.75,1.35,225.5,大1.7,單1.75
2022/4/25,AM 03:30,20220425-1,丹佛金塊,126,121 : 126,5.5,主1.75,2.45,225.5,小1.8,雙1.75
2022/4/25,AM 07:00,20220425-2,邁阿密熱火,110,110 : 86,-2.5,客1.7,1.55,220.5,大1.7,單1.75
2022/4/25,AM 07:00,20220425-2,亞特蘭大老鷹,86,110 : 86,2.5,主1.8,1.95,220.5,小1.8,雙1.75
2022/4/25,AM 09:30,20220425-3,鳳凰城太陽,103,103 : 118,-3.5,客1.8,1.5,216.5,大1.75,單1.75
2022/4/25,AM 09:30,20220425-3,紐奧良鵜鶘,118,103 : 118,3.5,主1.7,2.05,216.5,小1.75,雙1.75
2022/4/26,AM 07:00,20220426-0,波士頓塞爾提克,116,116 : 112,1.5,客1.8,1.9,222.5,大1.7,單1.75
2022/4/26,AM 07:00,20220426-0,布魯克林籃網,112,116 : 112,-1.5,主1.7,1.6,222.5,小1.8,雙1.75
2022/4/26,AM 08:00,20220426-1,多倫多暴龍,103,103 : 88,8.5,客1.75,3.3,212.5,大1.7,單1.75
2022/4/26,AM 08:00,20220426-1,費城76人,88,103 : 88,-8.5,主1.75,1.18,212.5,小1.8,雙1.75
2022/4/26,AM 09:30,20220426-2,猶他爵士,77,77 : 102,4.5,客1.8,2.3,212.5,大1.7,單1.75
2022/4/26,AM 09:30,20220426-2,達拉斯獨行俠,102,77 : 102,-4.5,主1.7,1.4,212.5,小1.8,雙1.75
2022/4/27,AM 07:00,20220427-0,亞特蘭大老鷹,94,94 : 97,4.5,客1.8,2.3,215.5,大1.8,單1.75
2022/4/27,AM 07:00,20220427-0,邁阿密熱火,97,94 : 97,-4.5,主1.7,1.4,215.5,小1.7,雙1.75
2022/4/27,AM 07:30,20220427-1,明尼蘇達灰狼,109,109 : 111,7.5,客1.75,2.7,231.5,大1.7,單1.75
2022/4/27,AM 07:30,20220427-1,曼斐斯灰熊,111,109 : 111,-7.5,主1.75,1.28,231.5,小1.8,雙1.75
2022/4/27,AM 10:00,20220427-2,紐奧良鵜鶘,97,97 : 112,6.5,客1.7,2.7,216.5,大1.7,單1.75
2022/4/27,AM 10:00,20220427-2,鳳凰城太陽,112,97 : 112,-6.5,主1.8,1.28,216.5,小1.8,雙1.75
2022/4/28,AM 07:30,20220428-0,芝加哥公牛,100,100 : 116,12.5,客1.75,,217.5,大1.8,單1.75
2022/4/28,AM 07:30,20220428-0,密爾瓦基公鹿,116,100 : 116,-12.5,主1.75,,217.5,小1.7,雙1.75
2022/4/28,AM 10:00,20220428-1,丹佛金塊,98,98 : 102,8.5,客1.8,3.5,227.5,大1.75,單1.75
2022/4/28,AM 10:00,20220428-1,金州勇士,102,98 : 102,-8.5,主1.7,1.15,227.5,小1.75,雙1.75
2022/4/29,AM 07:00,20220429-0,費城76人,132,132 : 97,-2.5,客1.8,1.6,209.5,大1.75,單1.75
2022/4/29,AM 07:00,20220429-0,多倫多暴龍,97,132 : 97,2.5,主1.7,1.9,209.5,小1.75,雙1.75
2022/4/29,AM 07:30,20220429-1,鳳凰城太陽,115,115 : 109,-4.5,客1.8,1.45,216.5,大1.7,單1.75
2022/4/29,AM 07:30,20220429-1,紐奧良鵜鶘,109,115 : 109,4.5,主1.7,2.15,216.5,小1.8,雙1.75
2022/4/29,AM 10:00,20220429-2,達拉斯獨行俠,98,98 : 96,-1.5,客1.8,1.65,210.5,大1.75,單1.75
2022/4/29,AM 10:00,20220429-2,猶他爵士,96,98 : 96,1.5,主1.7,1.85,210.5,小1.75,雙1.75
2022/4/30,AM 09:00,20220430-0,曼斐斯灰熊,114,114 : 106,-2.5,客1.75,1.6,227.5,大1.75,單1.75
2022/4/30,AM 09:00,20220430-0,明尼蘇達灰狼,106,114 : 106,2.5,主1.75,1.9,227.5,小1.75,雙1.75
